Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Easily distracted,Always distracted,Good focus,Self-aware,Focused,Positive outlook,Enthusiastic,Quick to anger,Few mistakes,Foggy mind,Good stamina,Enthusiastic,In good physical condition,Easily distracted,Drained,Few mistakes,Forgetful,In good physical condition,Patient,Drained,Needs Monitoring
Positive outlook,Enthusiastic,Quick to anger,Self-aware,Drained,Enthusiastic,Forgetful,Easily distracted,Indifferent,Emotionally stable,Mostly engaged,Drained,Good focus,Emotionally stable,Clear-minded,No energy at all,Challenging but good,Quick to anger,Self-aware,Clear-minded,Needs Monitoring
Forgetful,Indifferent,Low mood,Enthusiastic,Not motivated,Good focus,Focused,Self-aware,Refreshed,Quick to anger,Low mood,No energy at all,Challenging but good,Self-aware,Self-aware,Easily distracted,Indifferent,Easily distracted,Positive outlook,Few mistakes,Needs Monitoring
Invested,Few mistakes,Loses focus,Invested,Foggy mind,Loses focus,Refreshed,Indifferent,Sharp memory,Refreshed,Not motivated,I recharge through entertainment,Drained,Easily distracted,Loses focus,I recharge through entertainment,Self-aware,Patient,Invested,No energy at all,Needs Monitoring
Low mood,Quick to anger,Clear-minded,Quick to anger,Loses focus,Mostly engaged,Good stamina,Challenging but good,Refreshed,Invested,Indifferent,Positive outlook,No energy at all,Quick to anger,Drained,Quick to anger,Good focus,Patient,Patient,Focused,Needs Monitoring
Drained,Not motivated,Clear-minded,Enthusiastic,Loses focus,Emotionally stable,Few mistakes,Emotionally stable,Easily distracted,Good stamina,Indifferent,Refreshed,In good physical condition,Not motivated,Indifferent,Mostly engaged,Easily distracted,Not motivated,Invested,Indifferent,Needs Monitoring
Low mood,Focused,Challenging but good,Ready to go,Refreshed,Refreshed,Forgetful,Easily distracted,No energy at all,I recharge through entertainment,Positive outlook,Challenging but good,Quick to anger,Focused,Mostly engaged,No energy at all,Indifferent,Low mood,Not motivated,Patient,Needs Monitoring
Sharp memory,Good stamina,Good stamina,Refreshed,Patient,Sharp memory,No energy at all,Quick to anger,In good physical condition,In good physical condition,Challenging but good,Invested,No energy at all,Low mood,Mostly engaged,Easily distracted,Low mood,Low mood,Mostly engaged,Indifferent,Needs Monitoring
Ready to go,Enthusiastic,Quick to anger,Indifferent,Low mood,No energy at all,Challenging but good,Forgetful,In good physical condition,Clear-minded,Self-aware,No energy at all,No energy at all,Loses focus,Focused,I recharge through entertainment,Forgetful,Drained,Good stamina,In good physical condition,Needs Monitoring
In good physical condition,Patient,Foggy mind,Focused,Easily distracted,Self-aware,Patient,Not motivated,Challenging but good,Quick to anger,Positive outlook,Mostly engaged,I recharge through entertainment,Ready to go,Foggy mind,Indifferent,Clear-minded,Drained,Loses focus,Good focus,Needs Monitoring
Easily distracted,Enthusiastic,Focused,Mostly engaged,Loses focus,In good physical condition,Positive outlook,Not motivated,Easily distracted,Challenging but good,Forgetful,In good physical condition,Foggy mind,Sharp memory,Ready to go,Positive outlook,Foggy mind,Emotionally stable,Positive outlook,Forgetful,Needs Monitoring
Self-aware,In good physical condition,Refreshed,Foggy mind,Drained,In good physical condition,Clear-minded,Quick to anger,Loses focus,Foggy mind,Quick to anger,No energy at all,Positive outlook,Drained,Challenging but good,Clear-minded,Positive outlook,Sharp memory,Quick to anger,Low mood,Needs Monitoring
Patient,Foggy mind,Low mood,Enthusiastic,Positive outlook,Self-aware,Indifferent,Foggy mind,Few mistakes,Easily distracted,No energy at all,Enthusiastic,Self-aware,Foggy mind,Emotionally stable,Patient,Invested,Always distracted,Low mood,I recharge through entertainment,Needs Monitoring
Focused,Quick to anger,Emotionally stable,Positive outlook,In good physical condition,Quick to anger,Ready to go,Foggy mind,Refreshed,Drained,Invested,Focused,Forgetful,Refreshed,Patient,Loses focus,I recharge through entertainment,Positive outlook,No energy at all,Always distracted,Needs Monitoring
Refreshed,Focused,I recharge through entertainment,Quick to anger,Patient,Ready to go,In good physical condition,Emotionally stable,Good focus,Always distracted,Easily distracted,Loses focus,Drained,I recharge through entertainment,No energy at all,Sharp memory,Challenging but good,Drained,Quick to anger,Always distracted,Needs Monitoring
Good stamina,Quick to anger,Drained,Invested,Sharp memory,Few mistakes,Not motivated,Good focus,Quick to anger,Invested,Few mistakes,Low mood,Good stamina,Loses focus,Foggy mind,Quick to anger,Quick to anger,Quick to anger,Positive outlook,Mostly engaged,Needs Monitoring
Good focus,Sharp memory,Emotionally stable,Drained,Few mistakes,Low mood,Patient,Loses focus,Few mistakes,Foggy mind,No energy at all,Low mood,In good physical condition,Clear-minded,Mostly engaged,Patient,In good physical condition,Low mood,Foggy mind,Few mistakes,Needs Monitoring
Forgetful,Not motivated,Forgetful,Always distracted,Forgetful,Refreshed,Focused,Positive outlook,No energy at all,I recharge through entertainment,Invested,Invested,Loses focus,No energy at all,Few mistakes,Easily distracted,No energy at all,Sharp memory,Emotionally stable,Patient,Needs Monitoring
Not motivated,Challenging but good,In good physical condition,Emotionally stable,Mostly engaged,I recharge through entertainment,In good physical condition,In good physical condition,Focused,Quick to anger,Not motivated,Ready to go,Loses focus,Easily distracted,Invested,Easily distracted,No energy at all,Easily distracted,No energy at all,Low mood,Needs Monitoring
Easily distracted,Indifferent,Low mood,Self-aware,I recharge through entertainment,Enthusiastic,I recharge through entertainment,Self-aware,Easily distracted,Mostly engaged,No energy at all,Challenging but good,Drained,Refreshed,Positive outlook,Quick to anger,Few mistakes,Patient,Always distracted,Forgetful,Needs Monitoring
Self-aware,Good focus,Good stamina,Always distracted,Foggy mind,No energy at all,Focused,No energy at all,Refreshed,Easily distracted,Ready to go,Loses focus,Clear-minded,Focused,Invested,Loses focus,Sharp memory,Always distracted,Drained,Self-aware,Needs Monitoring
No energy at all,Patient,No energy at all,Patient,No energy at all,Emotionally stable,Always distracted,Focused,Foggy mind,Good focus,Good focus,Self-aware,Indifferent,Focused,Enthusiastic,Drained,Good focus,Low mood,Always distracted,Indifferent,Needs Monitoring
No energy at all,Indifferent,Not motivated,No energy at all,I recharge through entertainment,Patient,Sharp memory,Forgetful,In good physical condition,Invested,Good stamina,Refreshed,Emotionally stable,Easily distracted,Focused,Challenging but good,Mostly engaged,Foggy mind,Enthusiastic,Easily distracted,Needs Monitoring
Positive outlook,Good focus,Refreshed,Drained,Easily distracted,Good stamina,Foggy mind,Sharp memory,Quick to anger,Clear-minded,Indifferent,Ready to go,Loses focus,Few mistakes,Quick to anger,Quick to anger,Mostly engaged,Good focus,Clear-minded,Enthusiastic,Needs Monitoring
Good focus,Patient,Focused,Self-aware,Indifferent,Indifferent,Drained,Easily distracted,Indifferent,Challenging but good,Good focus,Ready to go,Always distracted,Drained,Good focus,Few mistakes,Focused,I recharge through entertainment,Forgetful,Challenging but good,Needs Monitoring
Quick to anger,Sharp memory,Emotionally stable,Refreshed,Drained,Emotionally stable,Enthusiastic,I recharge through entertainment,Drained,Few mistakes,No energy at all,Drained,No energy at all,Loses focus,Good focus,Challenging but good,Foggy mind,Self-aware,Self-aware,Quick to anger,Needs Monitoring
Not motivated,Enthusiastic,I recharge through entertainment,Quick to anger,Low mood,Patient,Foggy mind,Emotionally stable,Sharp memory,No energy at all,Focused,Mostly engaged,Few mistakes,Foggy mind,Low mood,Drained,Self-aware,Refreshed,Indifferent,Challenging but good,Needs Monitoring
Sharp memory,Foggy mind,I recharge through entertainment,Drained,Forgetful,Loses focus,Few mistakes,Foggy mind,Always distracted,Not motivated,Clear-minded,Refreshed,Quick to anger,Loses focus,Sharp memory,Self-aware,Refreshed,Enthusiastic,Patient,Foggy mind,Needs Monitoring
Indifferent,Focused,Refreshed,Foggy mind,Sharp memory,Not motivated,Drained,Not motivated,Foggy mind,Patient,Ready to go,Enthusiastic,Clear-minded,Enthusiastic,I recharge through entertainment,Always distracted,Patient,Few mistakes,No energy at all,Positive outlook,Needs Monitoring
Good stamina,Foggy mind,Sharp memory,Ready to go,In good physical condition,Ready to go,Forgetful,Low mood,Invested,Foggy mind,Drained,Challenging but good,Forgetful,Refreshed,Self-aware,Good focus,Foggy mind,Self-aware,Easily distracted,Positive outlook,Needs Monitoring
Quick to anger,Sharp memory,Low mood,Indifferent,Refreshed,Good focus,Low mood,Always distracted,Loses focus,In good physical condition,Low mood,Foggy mind,I recharge through entertainment,Forgetful,Refreshed,Refreshed,Ready to go,Emotionally stable,Low mood,Challenging but good,Needs Monitoring
No energy at all,Good stamina,Refreshed,Few mistakes,Few mistakes,No energy at all,Mostly engaged,Emotionally stable,Loses focus,Indifferent,Low mood,Indifferent,Ready to go,Forgetful,Not motivated,Not motivated,Foggy mind,Challenging but good,Good focus,In good physical condition,Needs Monitoring
Focused,Invested,Drained,Invested,Drained,Good focus,Self-aware,Forgetful,Easily distracted,Positive outlook,Few mistakes,Loses focus,Clear-minded,Easily distracted,Always distracted,Invested,Always distracted,Refreshed,Foggy mind,Foggy mind,Needs Monitoring
Drained,Easily distracted,Forgetful,Indifferent,Good focus,Mostly engaged,Focused,Foggy mind,Invested,In good physical condition,Foggy mind,Good stamina,Good focus,Few mistakes,Indifferent,In good physical condition,Self-aware,Good focus,Not motivated,Enthusiastic,Needs Monitoring
Forgetful,Enthusiastic,No energy at all,Good stamina,Indifferent,Easily distracted,Focused,Drained,Always distracted,Patient,Few mistakes,Foggy mind,Forgetful,Forgetful,Good focus,Focused,No energy at all,Few mistakes,Self-aware,I recharge through entertainment,Needs Monitoring
Low mood,Low mood,Invested,Enthusiastic,Not motivated,Easily distracted,Not motivated,Good focus,Indifferent,Low mood,Clear-minded,Indifferent,Foggy mind,Challenging but good,Challenging but good,Good stamina,Loses focus,Self-aware,Enthusiastic,In good physical condition,Needs Monitoring
Foggy mind,Low mood,Easily distracted,Forgetful,Loses focus,Enthusiastic,Good focus,Drained,Clear-minded,Self-aware,Ready to go,Clear-minded,Mostly engaged,Positive outlook,Indifferent,Always distracted,Patient,Challenging but good,Drained,Ready to go,Needs Monitoring
I recharge through entertainment,In good physical condition,Always distracted,Easily distracted,Good focus,Loses focus,Loses focus,Ready to go,Focused,Indifferent,Forgetful,Mostly engaged,No energy at all,Mostly engaged,Drained,Few mistakes,I recharge through entertainment,Self-aware,Clear-minded,Sharp memory,Needs Monitoring
Enthusiastic,Good focus,Good focus,Good stamina,Foggy mind,Foggy mind,Ready to go,Loses focus,Forgetful,Indifferent,Not motivated,Forgetful,Quick to anger,No energy at all,I recharge through entertainment,Refreshed,No energy at all,Positive outlook,Clear-minded,Good focus,Needs Monitoring
Loses focus,Focused,Forgetful,Self-aware,Not motivated,Mostly engaged,Enthusiastic,Positive outlook,Low mood,Self-aware,Always distracted,Loses focus,Good stamina,Self-aware,Sharp memory,Low mood,Indifferent,Positive outlook,Patient,Quick to anger,Needs Monitoring
Low mood,Focused,Mostly engaged,Quick to anger,Loses focus,Low mood,Few mistakes,Good stamina,Foggy mind,Emotionally stable,Clear-minded,Invested,Sharp memory,Invested,Indifferent,Emotionally stable,Indifferent,Foggy mind,Loses focus,Drained,Needs Monitoring
In good physical condition,Self-aware,Patient,Low mood,Good focus,Not motivated,Few mistakes,Positive outlook,Low mood,Always distracted,Indifferent,Indifferent,Self-aware,No energy at all,Indifferent,Mostly engaged,Few mistakes,Self-aware,Always distracted,No energy at all,Needs Monitoring
No energy at all,Easily distracted,Invested,Few mistakes,Quick to anger,Easily distracted,No energy at all,In good physical condition,Good stamina,Good stamina,In good physical condition,Sharp memory,Positive outlook,Patient,Foggy mind,Mostly engaged,Low mood,Low mood,Challenging but good,Positive outlook,Needs Monitoring
Loses focus,Clear-minded,Quick to anger,Self-aware,Always distracted,Focused,Positive outlook,Enthusiastic,No energy at all,Indifferent,Quick to anger,Sharp memory,Focused,Ready to go,Forgetful,Few mistakes,Always distracted,Good stamina,Drained,Sharp memory,Needs Monitoring
Indifferent,Indifferent,Always distracted,Low mood,Focused,Forgetful,Low mood,Self-aware,Ready to go,Focused,Sharp memory,Few mistakes,No energy at all,Focused,Drained,Good stamina,Positive outlook,Easily distracted,Challenging but good,Loses focus,Needs Monitoring
Positive outlook,Easily distracted,In good physical condition,Easily distracted,Indifferent,Good focus,Focused,Positive outlook,Emotionally stable,Positive outlook,Not motivated,Emotionally stable,I recharge through entertainment,Always distracted,Focused,Self-aware,Forgetful,Foggy mind,Drained,Positive outlook,Needs Monitoring
Ready to go,Easily distracted,Foggy mind,Focused,Foggy mind,Foggy mind,Mostly engaged,Always distracted,Few mistakes,Emotionally stable,Not motivated,Low mood,Focused,Mostly engaged,Challenging but good,No energy at all,Forgetful,Enthusiastic,Enthusiastic,Always distracted,Needs Monitoring
Sharp memory,Low mood,Refreshed,No energy at all,Self-aware,Good stamina,Foggy mind,Easily distracted,Low mood,Loses focus,Good stamina,Few mistakes,Sharp memory,Mostly engaged,Good focus,Ready to go,No energy at all,No energy at all,Invested,Challenging but good,Needs Monitoring
Ready to go,Easily distracted,No energy at all,In good physical condition,I recharge through entertainment,Challenging but good,Few mistakes,Clear-minded,No energy at all,No energy at all,Drained,Patient,Challenging but good,Enthusiastic,No energy at all,Foggy mind,Good stamina,Always distracted,Refreshed,I recharge through entertainment,Needs Monitoring
Self-aware,Easily distracted,Forgetful,Patient,Focused,Sharp memory,Invested,No energy at all,Focused,In good physical condition,In good physical condition,Low mood,Always distracted,Quick to anger,Emotionally stable,Good focus,Good stamina,Easily distracted,Easily distracted,Patient,Needs Monitoring
Low mood,No energy at all,Positive outlook,Invested,Foggy mind,Not motivated,Mostly engaged,Not motivated,Positive outlook,Refreshed,Not motivated,No energy at all,Indifferent,Good focus,Invested,Mostly engaged,Quick to anger,Low mood,Invested,Challenging but good,Needs Monitoring
Invested,Foggy mind,Focused,Focused,Invested,Easily distracted,Drained,Few mistakes,Loses focus,Ready to go,Good focus,Low mood,Ready to go,Clear-minded,Challenging but good,Loses focus,Quick to anger,Always distracted,Loses focus,No energy at all,Needs Monitoring
Sharp memory,Forgetful,Mostly engaged,In good physical condition,Loses focus,Always distracted,Loses focus,Focused,Positive outlook,Invested,Ready to go,Foggy mind,Drained,Quick to anger,Indifferent,Always distracted,Challenging but good,Invested,Patient,Foggy mind,Needs Monitoring
Sharp memory,Loses focus,Clear-minded,Quick to anger,Patient,Self-aware,Low mood,Few mistakes,Loses focus,Invested,Self-aware,Foggy mind,Refreshed,Easily distracted,Self-aware,Foggy mind,Foggy mind,Invested,Quick to anger,Not motivated,Needs Monitoring
Drained,Always distracted,Self-aware,Challenging but good,Emotionally stable,Emotionally stable,Ready to go,Always distracted,Enthusiastic,Drained,Low mood,Refreshed,Invested,Quick to anger,Always distracted,Low mood,Emotionally stable,Good stamina,Good stamina,In good physical condition,Needs Monitoring
Always distracted,I recharge through entertainment,Enthusiastic,Refreshed,Foggy mind,I recharge through entertainment,Always distracted,Loses focus,Low mood,Ready to go,Foggy mind,Indifferent,Focused,Self-aware,Focused,Good stamina,No energy at all,Self-aware,Not motivated,Easily distracted,Needs Monitoring
Forgetful,Challenging but good,Good stamina,Drained,Not motivated,Good focus,Emotionally stable,Loses focus,Mostly engaged,Low mood,Indifferent,Easily distracted,Challenging but good,I recharge through entertainment,Invested,Quick to anger,Few mistakes,Low mood,Patient,Loses focus,Needs Monitoring
Mostly engaged,Good stamina,Refreshed,Challenging but good,No energy at all,Indifferent,Easily distracted,Good stamina,Easily distracted,No energy at all,Patient,Low mood,Indifferent,Refreshed,Low mood,Challenging but good,Clear-minded,Low mood,No energy at all,I recharge through entertainment,Needs Monitoring
Invested,Forgetful,Focused,Self-aware,Easily distracted,Foggy mind,Forgetful,Clear-minded,Emotionally stable,Good focus,Clear-minded,Invested,Challenging but good,Not motivated,Indifferent,Loses focus,Forgetful,Refreshed,Low mood,Clear-minded,Needs Monitoring
Mostly engaged,Emotionally stable,Emotionally stable,Easily distracted,Quick to anger,Indifferent,Clear-minded,In good physical condition,Foggy mind,Easily distracted,Refreshed,Positive outlook,Enthusiastic,Always distracted,Good focus,Self-aware,Sharp memory,Easily distracted,Indifferent,Emotionally stable,Needs Monitoring
Easily distracted,In good physical condition,Easily distracted,Enthusiastic,Low mood,Positive outlook,Foggy mind,Refreshed,Good stamina,Forgetful,Foggy mind,Good focus,Loses focus,Sharp memory,Positive outlook,In good physical condition,Emotionally stable,Emotionally stable,Foggy mind,Sharp memory,Needs Monitoring
Sharp memory,Clear-minded,Positive outlook,Invested,Indifferent,Focused,Foggy mind,Loses focus,Good stamina,Sharp memory,Sharp memory,Indifferent,Foggy mind,Good stamina,Positive outlook,I recharge through entertainment,Not motivated,Indifferent,Indifferent,Clear-minded,Needs Monitoring
Challenging but good,Ready to go,Easily distracted,Low mood,No energy at all,Self-aware,I recharge through entertainment,Mostly engaged,Low mood,In good physical condition,Drained,Good stamina,Patient,Self-aware,In good physical condition,Always distracted,Positive outlook,Ready to go,Easily distracted,Quick to anger,Needs Monitoring
Self-aware,Good stamina,In good physical condition,Emotionally stable,Positive outlook,Low mood,Always distracted,Drained,Easily distracted,Emotionally stable,Easily distracted,Sharp memory,Emotionally stable,Always distracted,In good physical condition,Enthusiastic,Clear-minded,No energy at all,Foggy mind,Sharp memory,Needs Monitoring
Not motivated,Not motivated,Mostly engaged,Good focus,Emotionally stable,Not motivated,Low mood,Enthusiastic,Indifferent,Refreshed,Invested,In good physical condition,Positive outlook,Foggy mind,Few mistakes,Mostly engaged,Emotionally stable,Low mood,Quick to anger,Good focus,Needs Monitoring
Sharp memory,Refreshed,Quick to anger,Enthusiastic,Ready to go,Focused,Refreshed,Focused,Not motivated,Loses focus,Good stamina,Self-aware,Forgetful,Clear-minded,Not motivated,Drained,Always distracted,No energy at all,Good focus,In good physical condition,Needs Monitoring
Good focus,Drained,Good stamina,I recharge through entertainment,Emotionally stable,Indifferent,Indifferent,Forgetful,Clear-minded,Enthusiastic,Quick to anger,Easily distracted,Positive outlook,Refreshed,Indifferent,Foggy mind,Mostly engaged,Good focus,Not motivated,Loses focus,Needs Monitoring
No energy at all,Focused,In good physical condition,Not motivated,Self-aware,Good focus,Low mood,Foggy mind,Patient,Forgetful,Sharp memory,I recharge through entertainment,Easily distracted,Good focus,Easily distracted,Forgetful,Loses focus,Clear-minded,Loses focus,Self-aware,Needs Monitoring
Not motivated,Good focus,Few mistakes,Focused,Always distracted,Indifferent,Refreshed,Foggy mind,Always distracted,Indifferent,Easily distracted,I recharge through entertainment,Emotionally stable,Self-aware,Drained,Quick to anger,Clear-minded,No energy at all,Positive outlook,Sharp memory,Needs Monitoring
Foggy mind,Forgetful,Not motivated,Clear-minded,Few mistakes,Indifferent,Indifferent,Always distracted,Refreshed,I recharge through entertainment,Clear-minded,Easily distracted,Patient,Focused,Sharp memory,Few mistakes,Few mistakes,Ready to go,Always distracted,Challenging but good,Needs Monitoring
Easily distracted,Focused,Challenging but good,Positive outlook,Self-aware,Clear-minded,Good stamina,Quick to anger,Low mood,Easily distracted,Sharp memory,Easily distracted,Emotionally stable,Refreshed,Quick to anger,Forgetful,Enthusiastic,Loses focus,Ready to go,In good physical condition,Needs Monitoring
Low mood,Easily distracted,Challenging but good,Drained,Challenging but good,Focused,Challenging but good,Quick to anger,No energy at all,Clear-minded,Loses focus,Always distracted,Clear-minded,Refreshed,Focused,Forgetful,Forgetful,Quick to anger,Few mistakes,Patient,Needs Monitoring
In good physical condition,Sharp memory,Focused,Patient,Not motivated,Focused,Easily distracted,Positive outlook,Drained,No energy at all,Sharp memory,Loses focus,Focused,No energy at all,Low mood,Patient,Low mood,Drained,Challenging but good,Ready to go,Needs Monitoring
Emotionally stable,Loses focus,Low mood,Quick to anger,Not motivated,Foggy mind,Challenging but good,Ready to go,Enthusiastic,No energy at all,Ready to go,Self-aware,Mostly engaged,Always distracted,Clear-minded,Sharp memory,Good stamina,Invested,Refreshed,Loses focus,Needs Monitoring
Clear-minded,Quick to anger,Drained,Good focus,Positive outlook,Forgetful,Easily distracted,Ready to go,Emotionally stable,Mostly engaged,Good stamina,Indifferent,Self-aware,Foggy mind,Foggy mind,No energy at all,Not motivated,Quick to anger,Refreshed,Self-aware,Needs Monitoring
Loses focus,Few mistakes,Clear-minded,Mostly engaged,Clear-minded,Always distracted,Ready to go,Indifferent,Enthusiastic,Quick to anger,Always distracted,Not motivated,Forgetful,Good focus,No energy at all,Quick to anger,Good focus,Good stamina,Good stamina,Good focus,Needs Monitoring
Foggy mind,Clear-minded,Self-aware,Always distracted,Self-aware,Emotionally stable,Forgetful,Always distracted,Drained,Focused,Enthusiastic,Enthusiastic,Low mood,In good physical condition,Quick to anger,Drained,Sharp memory,Few mistakes,Drained,Not motivated,Needs Monitoring
Good stamina,Mostly engaged,Always distracted,Positive outlook,Emotionally stable,Self-aware,Easily distracted,Loses focus,Low mood,Focused,Indifferent,Refreshed,Forgetful,Positive outlook,Clear-minded,Few mistakes,Indifferent,Clear-minded,Loses focus,Sharp memory,Needs Monitoring
No energy at all,Easily distracted,Self-aware,Refreshed,Quick to anger,Clear-minded,Clear-minded,Mostly engaged,Low mood,In good physical condition,Loses focus,Positive outlook,Sharp memory,Clear-minded,Ready to go,Clear-minded,I recharge through entertainment,Drained,Foggy mind,Indifferent,Needs Monitoring
Positive outlook,Foggy mind,I recharge through entertainment,Sharp memory,Self-aware,Not motivated,Indifferent,Not motivated,Not motivated,Not motivated,Focused,Self-aware,Quick to anger,Drained,I recharge through entertainment,Few mistakes,Focused,Ready to go,Focused,Foggy mind,Needs Monitoring
Foggy mind,Loses focus,Good focus,Indifferent,Always distracted,Emotionally stable,Ready to go,Mostly engaged,Always distracted,Foggy mind,Sharp memory,Not motivated,Invested,Good stamina,Drained,Foggy mind,Refreshed,I recharge through entertainment,Quick to anger,Enthusiastic,Needs Monitoring
Easily distracted,Low mood,Good focus,Focused,Low mood,Good stamina,Good focus,Positive outlook,Easily distracted,Not motivated,Drained,Foggy mind,Not motivated,Mostly engaged,Refreshed,Good stamina,Good stamina,Quick to anger,Invested,Sharp memory,Needs Monitoring
Positive outlook,Forgetful,Patient,Clear-minded,Focused,Sharp memory,Indifferent,Foggy mind,No energy at all,Not motivated,Good focus,Good focus,Not motivated,Mostly engaged,Enthusiastic,Positive outlook,Self-aware,Loses focus,Easily distracted,Enthusiastic,Needs Monitoring
Mostly engaged,Low mood,Low mood,Good stamina,Ready to go,Focused,Emotionally stable,Indifferent,I recharge through entertainment,Quick to anger,Invested,Challenging but good,Foggy mind,Easily distracted,Good focus,Low mood,No energy at all,Good stamina,Always distracted,Mostly engaged,Needs Monitoring
Positive outlook,I recharge through entertainment,Ready to go,Quick to anger,Foggy mind,Indifferent,Enthusiastic,Patient,Quick to anger,Not motivated,Loses focus,No energy at all,In good physical condition,Forgetful,Foggy mind,Easily distracted,Sharp memory,Focused,Enthusiastic,Focused,Needs Monitoring
Low mood,Invested,Focused,Quick to anger,Not motivated,Mostly engaged,In good physical condition,Mostly engaged,Few mistakes,No energy at all,Always distracted,Focused,Enthusiastic,Self-aware,Indifferent,I recharge through entertainment,Good stamina,Loses focus,Forgetful,Refreshed,Needs Monitoring
Refreshed,I recharge through entertainment,No energy at all,Good stamina,Challenging but good,In good physical condition,Easily distracted,Foggy mind,Loses focus,Foggy mind,Easily distracted,Foggy mind,Mostly engaged,Clear-minded,Positive outlook,Good focus,Emotionally stable,Patient,Positive outlook,Indifferent,Needs Monitoring
Good focus,Good focus,Challenging but good,Ready to go,Clear-minded,Quick to anger,Low mood,Sharp memory,Mostly engaged,Positive outlook,Forgetful,Foggy mind,Emotionally stable,Patient,Self-aware,Forgetful,Forgetful,Drained,Low mood,Foggy mind,Needs Monitoring
Drained,Emotionally stable,Self-aware,Mostly engaged,Drained,No energy at all,Quick to anger,Easily distracted,Few mistakes,Self-aware,Quick to anger,Mostly engaged,Self-aware,No energy at all,Drained,Invested,Always distracted,Indifferent,Good stamina,Focused,Needs Monitoring
Indifferent,Good focus,Few mistakes,Drained,Positive outlook,Self-aware,Self-aware,Quick to anger,Drained,Sharp memory,Always distracted,Low mood,Ready to go,Loses focus,Focused,Focused,Good focus,Quick to anger,Clear-minded,Foggy mind,Needs Monitoring
In good physical condition,Refreshed,Clear-minded,Indifferent,Enthusiastic,Indifferent,Patient,Sharp memory,Positive outlook,Good stamina,Focused,No energy at all,Drained,Indifferent,Sharp memory,No energy at all,Easily distracted,Mostly engaged,Drained,Enthusiastic,Needs Monitoring
Invested,Few mistakes,In good physical condition,Patient,Patient,Challenging but good,Patient,Quick to anger,Drained,Self-aware,No energy at all,Always distracted,Always distracted,Forgetful,Foggy mind,In good physical condition,Sharp memory,No energy at all,Loses focus,Indifferent,Needs Monitoring
Drained,Indifferent,Indifferent,Ready to go,Mostly engaged,Refreshed,Clear-minded,Challenging but good,Loses focus,Quick to anger,No energy at all,Drained,Emotionally stable,Emotionally stable,Loses focus,Drained,Refreshed,Indifferent,In good physical condition,Clear-minded,Needs Monitoring
Invested,Clear-minded,Drained,Always distracted,Challenging but good,Sharp memory,Challenging but good,Drained,I recharge through entertainment,Easily distracted,Indifferent,Patient,Loses focus,Few mistakes,Emotionally stable,Not motivated,Patient,Invested,Quick to anger,Foggy mind,Needs Monitoring
Good focus,Positive outlook,Low mood,No energy at all,Challenging but good,Enthusiastic,Enthusiastic,I recharge through entertainment,Enthusiastic,Challenging but good,Focused,Refreshed,Forgetful,Not motivated,Foggy mind,Few mistakes,Always distracted,Forgetful,Clear-minded,Easily distracted,Needs Monitoring
Indifferent,Always distracted,Emotionally stable,Sharp memory,Positive outlook,Low mood,Low mood,Good focus,Good focus,Patient,Emotionally stable,Not motivated,Refreshed,Self-aware,Patient,Self-aware,Drained,Drained,Drained,I recharge through entertainment,Needs Monitoring
Indifferent,Good focus,Good focus,Positive outlook,Easily distracted,Always distracted,Focused,Enthusiastic,Quick to anger,Challenging but good,No energy at all,Foggy mind,In good physical condition,Not motivated,Refreshed,Indifferent,Invested,Low mood,Invested,Good focus,Needs Monitoring
Foggy mind,Positive outlook,Easily distracted,Good stamina,Mostly engaged,In good physical condition,Forgetful,Refreshed,Easily distracted,Clear-minded,Loses focus,Challenging but good,Mostly engaged,Sharp memory,In good physical condition,Invested,No energy at all,Focused,Loses focus,Easily distracted,Needs Monitoring
Good stamina,Forgetful,Mostly engaged,Mostly engaged,Loses focus,Quick to anger,Loses focus,Enthusiastic,Emotionally stable,I recharge through entertainment,Enthusiastic,Not motivated,Indifferent,Quick to anger,No energy at all,Always distracted,Good stamina,Few mistakes,Patient,Sharp memory,Needs Monitoring
Patient,Emotionally stable,In good physical condition,Refreshed,Mostly engaged,Positive outlook,Ready to go,Low mood,Sharp memory,Self-aware,Easily distracted,Drained,Good focus,Quick to anger,Loses focus,Not motivated,Always distracted,Ready to go,Refreshed,Easily distracted,Needs Monitoring
Challenging but good,Not motivated,Refreshed,Quick to anger,Foggy mind,Forgetful,Positive outlook,Sharp memory,Loses focus,Patient,I recharge through entertainment,Emotionally stable,Easily distracted,Sharp memory,Positive outlook,Not motivated,Loses focus,Loses focus,Good stamina,Sharp memory,Needs Monitoring
