Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Sharp memory,Focused,In good physical condition,Low mood,Low mood,Ready to go,Not motivated,Emotionally stable,Challenging but good,Few mistakes,Patient,Foggy mind,Quick to anger,Clear-minded,I recharge through entertainment,Loses focus,Refreshed,Patient,Low mood,Forgetful,Needs Monitoring
Rarely feel tired,Drained,Challenging but good,Focused,Mostly engaged,Patient,Easily distracted,Quick to anger,Invested,Enthusiastic,Positive outlook,Rarely feel tired,Patient,Always distracted,Good focus,Not motivated,Drained,Easily distracted,Invested,Foggy mind,Needs Monitoring
Patient,Patient,Not motivated,Good stamina,Focused,Foggy mind,I recharge through entertainment,Emotionally stable,Quick to anger,Patient,Rarely feel tired,No energy at all,In good physical condition,Not motivated,Foggy mind,Loses focus,Loses focus,Enthusiastic,Mostly engaged,Foggy mind,Needs Monitoring
Not motivated,Foggy mind,Rarely feel tired,Drained,Focused,Loses focus,Focused,In good physical condition,Refreshed,Self-aware,Foggy mind,Few mistakes,Good stamina,Always distracted,Invested,Indifferent,Always distracted,Emotionally stable,Positive outlook,Challenging but good,Needs Monitoring
Focused,Focused,Enthusiastic,Few mistakes,Rarely feel tired,Forgetful,I recharge through entertainment,Rarely feel tired,Indifferent,Easily distracted,Emotionally stable,Good focus,Foggy mind,Drained,I recharge through entertainment,Ready to go,Drained,Good focus,Focused,Low mood,Needs Monitoring
Clear-minded,In good physical condition,Sharp memory,Clear-minded,Foggy mind,Always distracted,Always distracted,Indifferent,Self-aware,Mostly engaged,Ready to go,Good focus,Clear-minded,Good stamina,No energy at all,Not motivated,Low mood,Focused,Challenging but good,Loses focus,Needs Monitoring
Not motivated,Clear-minded,Ready to go,Ready to go,Always distracted,Quick to anger,Good stamina,Foggy mind,Patient,I recharge through entertainment,Forgetful,Sharp memory,No energy at all,In good physical condition,Few mistakes,Not motivated,Rarely feel tired,I recharge through entertainment,No energy at all,Easily distracted,Needs Monitoring
Good focus,Forgetful,Foggy mind,Good focus,In good physical condition,Drained,Low mood,Emotionally stable,Loses focus,Ready to go,Mostly engaged,Few mistakes,Rarely feel tired,Indifferent,Good focus,Foggy mind,In good physical condition,Forgetful,Refreshed,Drained,Needs Monitoring
Indifferent,Always distracted,No energy at all,Good focus,Refreshed,Easily distracted,Patient,Indifferent,Easily distracted,Focused,Sharp memory,Patient,Mostly engaged,Indifferent,Few mistakes,Patient,Not motivated,Sharp memory,I recharge through entertainment,Forgetful,Needs Monitoring
Always distracted,In good physical condition,Clear-minded,Few mistakes,Refreshed,Drained,Forgetful,Refreshed,Emotionally stable,Patient,Focused,Clear-minded,Drained,Always distracted,Loses focus,Sharp memory,Indifferent,Clear-minded,Forgetful,Positive outlook,Needs Monitoring
Ready to go,Easily distracted,In good physical condition,Loses focus,Sharp memory,Loses focus,Indifferent,Good focus,Indifferent,No energy at all,Always distracted,Emotionally stable,Ready to go,Focused,Loses focus,Challenging but good,Forgetful,Rarely feel tired,Good stamina,Clear-minded,Needs Monitoring
Focused,Focused,Enthusiastic,Good stamina,No energy at all,Not motivated,Not motivated,Loses focus,I recharge through entertainment,Easily distracted,Good stamina,Challenging but good,Good stamina,Quick to anger,Not motivated,Mostly engaged,In good physical condition,I recharge through entertainment,No energy at all,Invested,Needs Monitoring
Enthusiastic,Indifferent,Foggy mind,Quick to anger,Sharp memory,Self-aware,Few mistakes,Always distracted,Few mistakes,Mostly engaged,Focused,Foggy mind,Always distracted,Positive outlook,No energy at all,Good focus,Mostly engaged,No energy at all,Challenging but good,Invested,Needs Monitoring
Foggy mind,Ready to go,Indifferent,Always distracted,Drained,Good stamina,Drained,Mostly engaged,Emotionally stable,Good stamina,Refreshed,Good focus,Drained,Patient,Rarely feel tired,Focused,Clear-minded,Foggy mind,Loses focus,In good physical condition,Needs Monitoring
Not motivated,I recharge through entertainment,Enthusiastic,In good physical condition,Drained,Sharp memory,Enthusiastic,Foggy mind,In good physical condition,Easily distracted,Forgetful,Low mood,Enthusiastic,Clear-minded,Enthusiastic,Low mood,Quick to anger,Self-aware,Few mistakes,Loses focus,Needs Monitoring
Indifferent,Rarely feel tired,Ready to go,Not motivated,Clear-minded,I recharge through entertainment,Always distracted,Quick to anger,I recharge through entertainment,Quick to anger,I recharge through entertainment,Enthusiastic,Emotionally stable,Ready to go,Patient,Quick to anger,Sharp memory,Patient,Easily distracted,Emotionally stable,Needs Monitoring
Rarely feel tired,Patient,Focused,Indifferent,Not motivated,Not motivated,In good physical condition,Quick to anger,Loses focus,Not motivated,Invested,Invested,Challenging but good,Not motivated,Not motivated,Good stamina,I recharge through entertainment,Easily distracted,In good physical condition,Invested,Needs Monitoring
Not motivated,Self-aware,Quick to anger,Low mood,Mostly engaged,Ready to go,Foggy mind,Mostly engaged,Positive outlook,Quick to anger,Challenging but good,Not motivated,Indifferent,Few mistakes,Clear-minded,Refreshed,Always distracted,Focused,Drained,Self-aware,Needs Monitoring
Rarely feel tired,Indifferent,Positive outlook,Always distracted,I recharge through entertainment,Forgetful,Invested,Good stamina,Challenging but good,Positive outlook,Sharp memory,Not motivated,I recharge through entertainment,I recharge through entertainment,Ready to go,Quick to anger,I recharge through entertainment,Forgetful,Always distracted,Good focus,Needs Monitoring
Challenging but good,Challenging but good,Invested,Indifferent,No energy at all,Foggy mind,Refreshed,Not motivated,Not motivated,Enthusiastic,Mostly engaged,No energy at all,Mostly engaged,Not motivated,Patient,Low mood,Refreshed,Good focus,Rarely feel tired,Always distracted,Needs Monitoring
No energy at all,Low mood,Clear-minded,Refreshed,Forgetful,Sharp memory,Loses focus,Patient,Emotionally stable,Drained,I recharge through entertainment,Sharp memory,Always distracted,Drained,Few mistakes,Self-aware,Foggy mind,Good stamina,Few mistakes,Loses focus,Needs Monitoring
Loses focus,Indifferent,Indifferent,Clear-minded,Quick to anger,Indifferent,Indifferent,Not motivated,Few mistakes,Enthusiastic,Invested,Self-aware,Loses focus,Good focus,Not motivated,Good stamina,Drained,Mostly engaged,Ready to go,Invested,Needs Monitoring
Low mood,Easily distracted,Mostly engaged,In good physical condition,Always distracted,No energy at all,Refreshed,Sharp memory,Drained,Ready to go,Few mistakes,Loses focus,Self-aware,Self-aware,Easily distracted,No energy at all,I recharge through entertainment,Challenging but good,Focused,Easily distracted,Needs Monitoring
Forgetful,I recharge through entertainment,Positive outlook,Refreshed,Enthusiastic,Clear-minded,Invested,Refreshed,Easily distracted,Low mood,I recharge through entertainment,Patient,Indifferent,Quick to anger,Rarely feel tired,Foggy mind,Indifferent,Focused,Invested,Clear-minded,Needs Monitoring
Mostly engaged,Rarely feel tired,Clear-minded,Ready to go,Self-aware,Indifferent,Indifferent,Easily distracted,Self-aware,Loses focus,Challenging but good,Indifferent,Indifferent,Clear-minded,Indifferent,Quick to anger,Focused,Mostly engaged,Not motivated,Good stamina,Needs Monitoring
Good stamina,Enthusiastic,Challenging but good,Sharp memory,Drained,Low mood,Mostly engaged,Indifferent,Drained,In good physical condition,Always distracted,Easily distracted,Low mood,Emotionally stable,Good stamina,Always distracted,Challenging but good,Few mistakes,Indifferent,Quick to anger,Needs Monitoring
Invested,No energy at all,Forgetful,No energy at all,Rarely feel tired,No energy at all,Rarely feel tired,Invested,Self-aware,Rarely feel tired,I recharge through entertainment,Invested,Patient,Sharp memory,Rarely feel tired,Good stamina,Good focus,Invested,Enthusiastic,Indifferent,Needs Monitoring
Foggy mind,Self-aware,Indifferent,Easily distracted,Invested,Good focus,Good focus,In good physical condition,I recharge through entertainment,Rarely feel tired,Easily distracted,Patient,Quick to anger,Patient,Few mistakes,Sharp memory,Positive outlook,No energy at all,Low mood,Indifferent,Needs Monitoring
Focused,Clear-minded,Indifferent,Clear-minded,Clear-minded,Rarely feel tired,Mostly engaged,Good focus,Indifferent,Always distracted,Low mood,Always distracted,No energy at all,Emotionally stable,Ready to go,Good focus,Drained,No energy at all,Loses focus,Mostly engaged,Needs Monitoring
Positive outlook,Emotionally stable,Enthusiastic,Self-aware,Not motivated,In good physical condition,Positive outlook,Drained,Good stamina,Patient,Good stamina,No energy at all,Easily distracted,Rarely feel tired,Good stamina,Easily distracted,Always distracted,Indifferent,Ready to go,Not motivated,Needs Monitoring
Sharp memory,Quick to anger,In good physical condition,I recharge through entertainment,Invested,Patient,Always distracted,Loses focus,Clear-minded,Rarely feel tired,Focused,Loses focus,Sharp memory,No energy at all,Good focus,Mostly engaged,Good focus,Emotionally stable,Always distracted,No energy at all,Needs Monitoring
Self-aware,Always distracted,Clear-minded,Good focus,Low mood,Positive outlook,Invested,Loses focus,Low mood,Rarely feel tired,Low mood,Not motivated,I recharge through entertainment,Clear-minded,Good stamina,Good focus,Enthusiastic,No energy at all,Indifferent,Sharp memory,Needs Monitoring
Enthusiastic,Positive outlook,Enthusiastic,Focused,Refreshed,Easily distracted,Mostly engaged,Forgetful,Always distracted,Always distracted,Drained,Always distracted,Rarely feel tired,In good physical condition,I recharge through entertainment,Mostly engaged,Foggy mind,Invested,Good stamina,Loses focus,Needs Monitoring
Ready to go,Always distracted,Clear-minded,Self-aware,Clear-minded,Always distracted,Indifferent,Indifferent,Focused,Indifferent,Few mistakes,Ready to go,Invested,In good physical condition,In good physical condition,Patient,No energy at all,Enthusiastic,Indifferent,No energy at all,Needs Monitoring
Self-aware,Foggy mind,Quick to anger,Mostly engaged,Not motivated,Sharp memory,Always distracted,Self-aware,Focused,Low mood,Forgetful,Not motivated,Good stamina,No energy at all,Positive outlook,Good focus,Easily distracted,Sharp memory,Good stamina,Emotionally stable,Needs Monitoring
Rarely feel tired,Refreshed,No energy at all,Mostly engaged,Emotionally stable,Drained,Easily distracted,Low mood,Mostly engaged,Loses focus,Mostly engaged,Self-aware,Mostly engaged,Easily distracted,Forgetful,Sharp memory,Clear-minded,Emotionally stable,Mostly engaged,Indifferent,Needs Monitoring
Rarely feel tired,Good focus,Drained,Always distracted,Low mood,Invested,Invested,Good focus,Good stamina,Drained,No energy at all,Forgetful,Ready to go,Indifferent,Low mood,Invested,Invested,Emotionally stable,Refreshed,No energy at all,Needs Monitoring
Invested,Rarely feel tired,Refreshed,Easily distracted,Low mood,Self-aware,Forgetful,Good focus,Foggy mind,In good physical condition,Loses focus,Not motivated,Sharp memory,Always distracted,Low mood,Emotionally stable,Positive outlook,No energy at all,Sharp memory,Emotionally stable,Needs Monitoring
Low mood,In good physical condition,I recharge through entertainment,Clear-minded,Emotionally stable,Patient,Indifferent,Emotionally stable,Focused,Forgetful,Drained,Loses focus,Loses focus,Not motivated,Easily distracted,Few mistakes,Challenging but good,Always distracted,Challenging but good,Good stamina,Needs Monitoring
Rarely feel tired,Refreshed,Good stamina,Quick to anger,Good focus,Indifferent,Invested,Easily distracted,Ready to go,Good focus,Foggy mind,Good stamina,Low mood,Foggy mind,Self-aware,Focused,Clear-minded,Always distracted,Ready to go,Ready to go,Needs Monitoring
Good stamina,In good physical condition,Sharp memory,Not motivated,Good focus,In good physical condition,Indifferent,Few mistakes,Not motivated,Indifferent,Forgetful,Clear-minded,Enthusiastic,Loses focus,Ready to go,Forgetful,Good focus,Loses focus,Refreshed,Indifferent,Needs Monitoring
Foggy mind,Always distracted,Good stamina,Few mistakes,Clear-minded,Self-aware,Rarely feel tired,No energy at all,Self-aware,Forgetful,Self-aware,Invested,Patient,Always distracted,Good stamina,Easily distracted,Loses focus,Sharp memory,No energy at all,Refreshed,Needs Monitoring
In good physical condition,Loses focus,Patient,Patient,Positive outlook,Not motivated,Enthusiastic,Positive outlook,Low mood,Easily distracted,Few mistakes,Enthusiastic,Few mistakes,Easily distracted,Easily distracted,Patient,Always distracted,I recharge through entertainment,No energy at all,Enthusiastic,Needs Monitoring
Not motivated,Good focus,Not motivated,Quick to anger,No energy at all,Foggy mind,Quick to anger,Refreshed,Few mistakes,No energy at all,Sharp memory,Ready to go,Forgetful,Low mood,Emotionally stable,Few mistakes,Challenging but good,Mostly engaged,Positive outlook,No energy at all,Needs Monitoring
Good stamina,Rarely feel tired,Refreshed,Rarely feel tired,Emotionally stable,Ready to go,Forgetful,In good physical condition,Enthusiastic,Drained,Positive outlook,Clear-minded,No energy at all,Forgetful,Enthusiastic,Easily distracted,Forgetful,Patient,Positive outlook,In good physical condition,Needs Monitoring
Few mistakes,Positive outlook,Sharp memory,Sharp memory,Always distracted,Easily distracted,Indifferent,Not motivated,Good stamina,Refreshed,Easily distracted,Not motivated,Always distracted,In good physical condition,Ready to go,Easily distracted,Positive outlook,Foggy mind,Challenging but good,Sharp memory,Needs Monitoring
Refreshed,Emotionally stable,Refreshed,Always distracted,Challenging but good,Low mood,Good focus,Ready to go,Indifferent,Invested,Indifferent,Loses focus,Foggy mind,Low mood,I recharge through entertainment,Always distracted,Focused,In good physical condition,Invested,Not motivated,Needs Monitoring
Foggy mind,Sharp memory,Quick to anger,Loses focus,Refreshed,Good focus,Invested,Not motivated,Focused,No energy at all,Clear-minded,Few mistakes,Easily distracted,Forgetful,No energy at all,Enthusiastic,Forgetful,Challenging but good,Enthusiastic,Patient,Needs Monitoring
Loses focus,Positive outlook,Foggy mind,I recharge through entertainment,Drained,Clear-minded,Invested,Invested,No energy at all,Not motivated,Few mistakes,Low mood,Quick to anger,I recharge through entertainment,Indifferent,Emotionally stable,Sharp memory,Invested,Challenging but good,Always distracted,Needs Monitoring
Self-aware,Self-aware,Invested,Always distracted,Not motivated,Mostly engaged,Loses focus,Quick to anger,Forgetful,Refreshed,Indifferent,Clear-minded,Refreshed,Mostly engaged,Self-aware,Focused,Foggy mind,Forgetful,Patient,Drained,Needs Monitoring
Sharp memory,Good focus,In good physical condition,I recharge through entertainment,Low mood,Good focus,Indifferent,Focused,Enthusiastic,Foggy mind,Indifferent,Enthusiastic,Always distracted,Rarely feel tired,Rarely feel tired,Focused,Easily distracted,Loses focus,Mostly engaged,Good stamina,Needs Monitoring
Quick to anger,Quick to anger,Drained,Mostly engaged,Sharp memory,Good stamina,Invested,Patient,Challenging but good,Quick to anger,Rarely feel tired,Indifferent,Rarely feel tired,Good stamina,Mostly engaged,Quick to anger,I recharge through entertainment,Forgetful,I recharge through entertainment,Focused,Needs Monitoring
Indifferent,I recharge through entertainment,Mostly engaged,Self-aware,Positive outlook,Indifferent,No energy at all,Foggy mind,Quick to anger,Emotionally stable,Good focus,Self-aware,Good focus,No energy at all,Refreshed,Rarely feel tired,In good physical condition,Forgetful,Self-aware,Good focus,Needs Monitoring
Foggy mind,Not motivated,Good stamina,Self-aware,Drained,In good physical condition,Always distracted,Focused,Invested,Rarely feel tired,Not motivated,Enthusiastic,Invested,Invested,Challenging but good,Good focus,No energy at all,Forgetful,Self-aware,Easily distracted,Needs Monitoring
Mostly engaged,Low mood,Invested,Mostly engaged,Good stamina,Invested,Quick to anger,Always distracted,Refreshed,Foggy mind,Foggy mind,Mostly engaged,No energy at all,Easily distracted,Clear-minded,Emotionally stable,Few mistakes,Ready to go,Drained,Drained,Needs Monitoring
Challenging but good,Refreshed,Challenging but good,In good physical condition,I recharge through entertainment,Drained,Always distracted,Low mood,Quick to anger,Positive outlook,I recharge through entertainment,Emotionally stable,No energy at all,Enthusiastic,Low mood,Always distracted,Enthusiastic,I recharge through entertainment,No energy at all,Rarely feel tired,Needs Monitoring
Low mood,Forgetful,Low mood,Few mistakes,Invested,Good focus,Challenging but good,In good physical condition,Loses focus,Foggy mind,Positive outlook,Rarely feel tired,Mostly engaged,Low mood,Sharp memory,Easily distracted,Ready to go,Low mood,Clear-minded,Refreshed,Needs Monitoring
Clear-minded,Drained,Foggy mind,In good physical condition,Always distracted,Emotionally stable,Good focus,Invested,Quick to anger,Good focus,Loses focus,Challenging but good,Mostly engaged,Enthusiastic,Not motivated,Always distracted,Easily distracted,Positive outlook,Good stamina,Drained,Needs Monitoring
Not motivated,Clear-minded,Positive outlook,Good stamina,Rarely feel tired,Indifferent,Indifferent,Indifferent,Challenging but good,Refreshed,Always distracted,Loses focus,Rarely feel tired,I recharge through entertainment,Focused,Easily distracted,In good physical condition,Rarely feel tired,Ready to go,Few mistakes,Needs Monitoring
Indifferent,Positive outlook,Clear-minded,Foggy mind,Emotionally stable,Challenging but good,Positive outlook,Rarely feel tired,Not motivated,Mostly engaged,Indifferent,Enthusiastic,Forgetful,Invested,Enthusiastic,Quick to anger,Focused,Clear-minded,Enthusiastic,Loses focus,Needs Monitoring
Foggy mind,Challenging but good,Sharp memory,Enthusiastic,Always distracted,Loses focus,Foggy mind,Foggy mind,Quick to anger,Sharp memory,Clear-minded,Low mood,Challenging but good,Few mistakes,Sharp memory,Mostly engaged,Challenging but good,Low mood,Patient,Good focus,Needs Monitoring
Drained,I recharge through entertainment,Clear-minded,Indifferent,Drained,I recharge through entertainment,Drained,Quick to anger,Good focus,No energy at all,No energy at all,Ready to go,Ready to go,In good physical condition,Forgetful,Good stamina,Rarely feel tired,Good stamina,Clear-minded,Forgetful,Needs Monitoring
Patient,Not motivated,Indifferent,Ready to go,Not motivated,Few mistakes,Focused,Sharp memory,Rarely feel tired,Easily distracted,Clear-minded,In good physical condition,Forgetful,Rarely feel tired,Few mistakes,Easily distracted,Enthusiastic,Low mood,Quick to anger,Sharp memory,Needs Monitoring
Focused,Drained,Sharp memory,Mostly engaged,Focused,Positive outlook,Enthusiastic,Good stamina,Always distracted,Self-aware,Indifferent,Easily distracted,Low mood,Foggy mind,Mostly engaged,Always distracted,Easily distracted,Positive outlook,Focused,Focused,Needs Monitoring
No energy at all,Challenging but good,Clear-minded,Emotionally stable,Rarely feel tired,Challenging but good,Good stamina,Invested,Good stamina,Focused,Few mistakes,Emotionally stable,Positive outlook,Drained,No energy at all,Indifferent,Not motivated,Easily distracted,No energy at all,Loses focus,Needs Monitoring
Always distracted,Refreshed,Emotionally stable,Focused,Quick to anger,Forgetful,Refreshed,Indifferent,Emotionally stable,Always distracted,Mostly engaged,Rarely feel tired,No energy at all,Clear-minded,Rarely feel tired,Challenging but good,Self-aware,Low mood,Low mood,Emotionally stable,Needs Monitoring
Not motivated,Ready to go,Good stamina,Drained,Not motivated,Forgetful,Sharp memory,Enthusiastic,Few mistakes,Self-aware,No energy at all,Good focus,Not motivated,No energy at all,Enthusiastic,Forgetful,Ready to go,Loses focus,Refreshed,Good stamina,Needs Monitoring
Refreshed,Few mistakes,Sharp memory,Forgetful,Clear-minded,Low mood,Enthusiastic,Good focus,In good physical condition,Positive outlook,Forgetful,Sharp memory,Quick to anger,Low mood,Drained,Indifferent,Positive outlook,Quick to anger,Quick to anger,Not motivated,Needs Monitoring
Low mood,Self-aware,Indifferent,Not motivated,Forgetful,Forgetful,Patient,Mostly engaged,In good physical condition,Good stamina,No energy at all,Forgetful,Rarely feel tired,Few mistakes,Sharp memory,Always distracted,Ready to go,Few mistakes,Few mistakes,Self-aware,Needs Monitoring
Quick to anger,Rarely feel tired,Patient,In good physical condition,Few mistakes,Emotionally stable,I recharge through entertainment,Challenging but good,No energy at all,Good stamina,Rarely feel tired,Forgetful,Focused,Quick to anger,Focused,Forgetful,Foggy mind,Quick to anger,Self-aware,Refreshed,Needs Monitoring
Self-aware,Foggy mind,Patient,Rarely feel tired,Low mood,Clear-minded,Refreshed,Forgetful,Ready to go,Sharp memory,Drained,Invested,Clear-minded,I recharge through entertainment,Few mistakes,Patient,Loses focus,Quick to anger,Loses focus,Not motivated,Needs Monitoring
Focused,Positive outlook,Low mood,Not motivated,I recharge through entertainment,Enthusiastic,Good stamina,Forgetful,Easily distracted,Focused,Forgetful,Loses focus,Enthusiastic,Invested,Indifferent,Forgetful,Positive outlook,Good focus,Clear-minded,Self-aware,Needs Monitoring
Rarely feel tired,Mostly engaged,Forgetful,Few mistakes,Quick to anger,Few mistakes,Clear-minded,Enthusiastic,Focused,No energy at all,Refreshed,Good focus,Drained,Good focus,Indifferent,Invested,Focused,No energy at all,Foggy mind,Easily distracted,Needs Monitoring
In good physical condition,Drained,Good stamina,Few mistakes,Invested,Self-aware,Clear-minded,Emotionally stable,No energy at all,Drained,Few mistakes,Invested,Easily distracted,Rarely feel tired,Rarely feel tired,Foggy mind,Few mistakes,Rarely feel tired,Emotionally stable,Forgetful,Needs Monitoring
Patient,Always distracted,Self-aware,Ready to go,Self-aware,Clear-minded,Patient,Good focus,Easily distracted,Drained,Drained,Forgetful,Quick to anger,Few mistakes,Loses focus,Patient,Foggy mind,Loses focus,Good stamina,Forgetful,Needs Monitoring
Rarely feel tired,Ready to go,No energy at all,Challenging but good,Foggy mind,Loses focus,Few mistakes,Good focus,No energy at all,Loses focus,Patient,Focused,Low mood,In good physical condition,No energy at all,Drained,Challenging but good,Rarely feel tired,Sharp memory,Clear-minded,Needs Monitoring
Quick to anger,In good physical condition,Not motivated,Indifferent,I recharge through entertainment,Low mood,Mostly engaged,Patient,Refreshed,Refreshed,Emotionally stable,Sharp memory,Emotionally stable,Patient,Drained,Easily distracted,Forgetful,Few mistakes,Loses focus,Mostly engaged,Needs Monitoring
I recharge through entertainment,Enthusiastic,Indifferent,Ready to go,Focused,Enthusiastic,Self-aware,Forgetful,Not motivated,Rarely feel tired,Quick to anger,Refreshed,In good physical condition,Indifferent,No energy at all,Mostly engaged,Low mood,I recharge through entertainment,Low mood,Few mistakes,Needs Monitoring
No energy at all,Patient,Loses focus,Focused,Quick to anger,Indifferent,Clear-minded,Enthusiastic,Sharp memory,Easily distracted,Clear-minded,Mostly engaged,Sharp memory,Foggy mind,Low mood,Good focus,Enthusiastic,I recharge through entertainment,Good stamina,Quick to anger,Needs Monitoring
Low mood,Mostly engaged,In good physical condition,Always distracted,Few mistakes,Low mood,Quick to anger,Low mood,Low mood,Foggy mind,Not motivated,Good stamina,Refreshed,Good focus,Rarely feel tired,Clear-minded,Positive outlook,Enthusiastic,Always distracted,Invested,Needs Monitoring
Positive outlook,Refreshed,Sharp memory,Quick to anger,Easily distracted,Always distracted,Indifferent,Always distracted,Forgetful,No energy at all,In good physical condition,Easily distracted,Ready to go,Sharp memory,Challenging but good,Rarely feel tired,Sharp memory,Forgetful,Refreshed,Mostly engaged,Needs Monitoring
Positive outlook,Low mood,Low mood,I recharge through entertainment,I recharge through entertainment,Good stamina,Drained,No energy at all,Refreshed,Quick to anger,Foggy mind,Refreshed,Patient,Challenging but good,In good physical condition,Not motivated,Emotionally stable,Good stamina,Always distracted,Always distracted,Needs Monitoring
Drained,Indifferent,Indifferent,Always distracted,Foggy mind,Mostly engaged,Mostly engaged,Emotionally stable,Invested,Quick to anger,Foggy mind,Sharp memory,Self-aware,In good physical condition,Challenging but good,Mostly engaged,Patient,Enthusiastic,Not motivated,Always distracted,Needs Monitoring
No energy at all,Good focus,Rarely feel tired,Indifferent,No energy at all,Rarely feel tired,Refreshed,Enthusiastic,Foggy mind,Challenging but good,Mostly engaged,Rarely feel tired,Refreshed,Patient,No energy at all,In good physical condition,Indifferent,Challenging but good,Refreshed,Emotionally stable,Needs Monitoring
Quick to anger,Foggy mind,Patient,Loses focus,Sharp memory,Low mood,Refreshed,I recharge through entertainment,Invested,Positive outlook,Always distracted,Good focus,No energy at all,Loses focus,Always distracted,Focused,Easily distracted,Self-aware,Rarely feel tired,Self-aware,Needs Monitoring
Easily distracted,Focused,Self-aware,Sharp memory,Loses focus,Quick to anger,Emotionally stable,Rarely feel tired,Sharp memory,Good focus,Rarely feel tired,Good focus,Invested,Always distracted,Indifferent,Mostly engaged,Good focus,Self-aware,No energy at all,Not motivated,Needs Monitoring
Drained,No energy at all,Ready to go,Emotionally stable,Enthusiastic,I recharge through entertainment,Forgetful,Rarely feel tired,Invested,No energy at all,In good physical condition,Focused,Emotionally stable,Foggy mind,Good stamina,Loses focus,Few mistakes,Indifferent,Refreshed,Mostly engaged,Needs Monitoring
Patient,Indifferent,Challenging but good,Refreshed,Patient,Not motivated,Focused,Drained,Invested,I recharge through entertainment,Quick to anger,Mostly engaged,Quick to anger,Quick to anger,Patient,No energy at all,Few mistakes,Good stamina,Always distracted,Mostly engaged,Needs Monitoring
No energy at all,Foggy mind,Patient,No energy at all,Ready to go,Low mood,Positive outlook,Clear-minded,Easily distracted,Emotionally stable,Quick to anger,Not motivated,Invested,Refreshed,Enthusiastic,Self-aware,Always distracted,Clear-minded,Refreshed,Invested,Needs Monitoring
Positive outlook,Foggy mind,Refreshed,Always distracted,Invested,Quick to anger,Enthusiastic,Foggy mind,Positive outlook,In good physical condition,Enthusiastic,Few mistakes,Sharp memory,Foggy mind,Mostly engaged,Ready to go,Patient,Low mood,Loses focus,Drained,Needs Monitoring
Drained,No energy at all,Enthusiastic,I recharge through entertainment,No energy at all,Drained,Always distracted,Few mistakes,Always distracted,Clear-minded,Few mistakes,Invested,Emotionally stable,Always distracted,Self-aware,Foggy mind,Easily distracted,Indifferent,Good focus,Ready to go,Needs Monitoring
Self-aware,No energy at all,Good focus,No energy at all,Not motivated,Enthusiastic,Few mistakes,Mostly engaged,Ready to go,Foggy mind,Patient,Good stamina,Indifferent,Easily distracted,Drained,Low mood,Indifferent,Forgetful,Few mistakes,Good focus,Needs Monitoring
Self-aware,Not motivated,In good physical condition,Always distracted,Drained,Good focus,Positive outlook,Low mood,Indifferent,Quick to anger,Positive outlook,Not motivated,Refreshed,No energy at all,Self-aware,Quick to anger,Enthusiastic,No energy at all,Enthusiastic,Positive outlook,Needs Monitoring
In good physical condition,Emotionally stable,Always distracted,Refreshed,In good physical condition,Easily distracted,Positive outlook,No energy at all,No energy at all,Not motivated,Quick to anger,Clear-minded,Forgetful,Good stamina,Ready to go,No energy at all,Sharp memory,I recharge through entertainment,Easily distracted,Drained,Needs Monitoring
I recharge through entertainment,Low mood,Sharp memory,Focused,Self-aware,Rarely feel tired,Positive outlook,Few mistakes,Forgetful,Always distracted,Positive outlook,Quick to anger,Good stamina,Invested,Quick to anger,Quick to anger,Not motivated,Drained,I recharge through entertainment,Drained,Needs Monitoring
I recharge through entertainment,Indifferent,Quick to anger,In good physical condition,Good stamina,Positive outlook,Drained,Forgetful,Drained,Low mood,Sharp memory,Easily distracted,Refreshed,Invested,In good physical condition,Invested,Indifferent,Enthusiastic,Drained,No energy at all,Needs Monitoring
Focused,Indifferent,Drained,Always distracted,Refreshed,Enthusiastic,Self-aware,Ready to go,Drained,Good focus,Easily distracted,Foggy mind,Good focus,Quick to anger,Quick to anger,Patient,In good physical condition,Drained,Few mistakes,Mostly engaged,Needs Monitoring
Easily distracted,Mostly engaged,Few mistakes,Good focus,Easily distracted,Indifferent,Positive outlook,Emotionally stable,Loses focus,Always distracted,Self-aware,No energy at all,Foggy mind,Invested,Patient,Indifferent,Good stamina,Positive outlook,Always distracted,Quick to anger,Needs Monitoring
Enthusiastic,Challenging but good,Foggy mind,Enthusiastic,Always distracted,Forgetful,Emotionally stable,Easily distracted,Rarely feel tired,Positive outlook,Easily distracted,Low mood,Challenging but good,Good focus,Few mistakes,Not motivated,Refreshed,Good stamina,Not motivated,Enthusiastic,Needs Monitoring
